,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
10,k2L7_gRYhJ4,UCNhofiqfw5nl-NeDJkXtPvw,텍사스식 멧돼지 사냥 【아메리카10】,"멧돼지 고기 맛나요.
--------------------------------------
카메라

Gopro9
Galaxy S21
Thermal Camera
--------------------------------------
배경음악

Jahzzar - Encedalus
https://www.youtube.com/watch?v=WdorEEZrWGo

Jahzzar - Three Times
https://www.youtube.com/watch?v=4HywP8GYd_Y",https://i.ytimg.com/vi/k2L7_gRYhJ4/hqdefault.jpg,2775140,54553,2021-09-17T06:23:07Z,PT19M48S
11,GAJFBwj1Dxk,UCNhofiqfw5nl-NeDJkXtPvw,미국 음식 아닌 것 같은 미국 음식들 탐방기 【아메리카11】,"쩝쩝거려서 죄송합니담.
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kevin Macleod - Apero Hour
https://www.youtube.com/watch?v=sdjtt1dcBnk

Kevin Macleod - Bossa Antigua
https://www.youtube.com/watch?v=A25zUqFEJr4

Kevin Macleod - Smooth Lovin
https://www.youtube.com/watch?v=z6j690YzFFY",https://i.ytimg.com/vi/GAJFBwj1Dxk/hqdefault.jpg,2386868,33640,2021-09-24T08:00:04Z,PT11M33S
12,uqtA_MEbYls,UCNhofiqfw5nl-NeDJkXtPvw,미국 1등석 기차 리뷰 【아메리카12】,"가격은 비행기랑 비슷하지만
추억은 비행기의 곱절입니다.
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kevin Macleod - Late Night Radio
https://www.youtube.com/watch?v=QhtL-6Cf5Xk

Kevin Macleod - Pleasant Porridge
https://www.youtube.com/watch?v=ud8p5XI8WFA

Jahzzar - Sappy
https://www.youtube.com/watch?v=gAZEvvQoIMs

Jahzzar - Get Out
https://www.youtube.com/watch?v=qQKReM3j2UY",https://i.ytimg.com/vi/uqtA_MEbYls/hqdefault.jpg,5738234,61686,2021-10-01T05:24:41Z,PT9M36S
13,-AfxdYo-XaU,UCNhofiqfw5nl-NeDJkXtPvw,미국 괴물 물고기 낚시 【아메리카13】,"그것은
물고기라기엔
너무 컸다
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Pigalle
https://www.youtube.com/watch?v=qalCJz1sKoc

Jahzzar - Endeavour
https://www.youtube.com/watch?v=eMiDpTGqi_0",https://i.ytimg.com/vi/-AfxdYo-XaU/hqdefault.jpg,1427409,22402,2021-10-06T03:43:13Z,PT9M13S
14,2Z5UPLUV6XA,UCNhofiqfw5nl-NeDJkXtPvw,진짜 미국식 할로윈 즐기기 【아메리카14】,"인싸들한테 화 안났습니다 ^^2
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kevin MacLeod - Aces High
https://www.youtube.com/watch?v=E16yOc7-Chw

Kevin MacLeod - Danse of Questionable Tuning
https://www.youtube.com/watch?v=qB0-mVc08qY",https://i.ytimg.com/vi/2Z5UPLUV6XA/hqdefault.jpg,1368747,25959,2021-10-13T03:01:04Z,PT12M8S
15,sPrX_VQOqG4,UCNhofiqfw5nl-NeDJkXtPvw,멕시코 시장 구경 【아메리카15】,"자꾸 미국이랑 비교해서 미안합니다 미국인님들아
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Kelvin MacLeod - No Frills Salsa
https://www.youtube.com/watch?v=FVGZUDWYnxM",https://i.ytimg.com/vi/sPrX_VQOqG4/hqdefault.jpg,1885000,30896,2021-10-13T03:01:10Z,PT13M32S
16,VDiFELzovT0,UCNhofiqfw5nl-NeDJkXtPvw,멕시코 온천 가보기 【아메리카16】,"뜨듯허다잉~
나이 묵으니까 이런게 조터라~
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Schmaltz
https://www.youtube.com/watch?v=WV3eWMnCcZk

Kelvin Macleod - Verano Sensual
https://www.youtube.com/watch?v=fBLZpNn5pwg",https://i.ytimg.com/vi/VDiFELzovT0/hqdefault.jpg,2343178,37991,2021-10-19T08:00:08Z,PT17M16S
17,Qy_xLknwOuI,UCNhofiqfw5nl-NeDJkXtPvw,멕시코 인형의 섬 가보기 【아메리카17】,"인형의 섬 나무위키 페이지 참조
https://namu.wiki/w/%EC%9D%B8%ED%98%95%EC%9D%98%20%EC%84%AC
--------------------------------------
카메라

Gopro9
Galaxy S21
ZV-1
--------------------------------------
배경음악

Jahzzar - Chiado
https://www.youtube.com/watch?v=3U1XyGkECQQ

Jahzzar - Montmartre
https://www.youtube.com/watch?v=OFbHAjUhXhQ",https://i.ytimg.com/vi/Qy_xLknwOuI/hqdefault.jpg,1485873,25211,2021-10-29T03:00:07Z,PT15M12S
18,lvTQ7GcJv68,UCNhofiqfw5nl-NeDJkXtPvw,현지인에게 배우는 멕시코 음식 【아메리카18】,"페루 댄스 영상
https://youtu.be/UsnpXqRKQR0
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Kevin Macleod - No Frills Cumbia
https://www.youtube.com/watch?v=VYj8yzjQ_9U

Kevin Macleod - Chill Wave
https://www.youtube.com/watch?v=TRiBpYgjFD4",https://i.ytimg.com/vi/lvTQ7GcJv68/hqdefault.jpg,1681730,24372,2021-11-02T04:00:12Z,PT13M14S
19,yuTRi0USn_I,UCNhofiqfw5nl-NeDJkXtPvw,멕시코 루차 리브레 관람기 【아메리카19】,"노란 마스크야
다치지 말고 꼭! 멋진 루차도르가 돼야 한다~?
알겠지?
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Scream from a Deaf Man
https://www.youtube.com/watch?v=RXHtEtEYBNw",https://i.ytimg.com/vi/yuTRi0USn_I/hqdefault.jpg,977164,21864,2021-11-06T03:00:17Z,PT15M27S
