,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
10,2kQGS5Or8A0,UCNhofiqfw5nl-NeDJkXtPvw,다 섞어먹는 말레이 최고의 음식 맛보기 【말레이시아2】,"이 아이가 배부르다는 느낌을 알까요...?


식당 정보 

첫번째 식당 - 나시 칸다르 : Nasi Kendar Bendi
https://goo.gl/maps/VENdbvoYBPiPy6rUA

두번째 식당 - 판미 : 1818Kopitian
https://goo.gl/maps/JoXUNoRBrocVa1qx5

세번째 식당 - 나시르막, 미 고렝 : Big tree head Mamak
https://goo.gl/maps/upaihVo29sztB5UA7

네번째 식당 - 바쿠테 : Bakuteh Hingkee Kepong
https://g.page/Hingkeebkt?share
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Baroque
https://www.youtube.com/watch?v=15IrPHgDy7Q

Jahzzar - Shake it!
https://www.youtube.com/watch?v=8pn9wZfFk0s",https://i.ytimg.com/vi/2kQGS5Or8A0/hqdefault.jpg,1303561,19254,2022-09-30T03:00:02Z,PT21M51S
11,kYy-CUsQdxA,UCNhofiqfw5nl-NeDJkXtPvw,미식의 도시 말레이시아 페낭 푸드트립 【말레이시아3】,"아직도 배부르다
하지만 즐거웠다
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Forgiven Not Forgotten
https://www.youtube.com/watch?v=k07Wd_GjorY

Jahzzar - Ulyses
https://www.youtube.com/watch?v=xYmrdDumlZw

Jahzzar - Charity
https://www.youtube.com/watch?v=Lo-Fcww0tC0",https://i.ytimg.com/vi/kYy-CUsQdxA/hqdefault.jpg,1068589,15174,2022-10-05T03:00:25Z,PT19M50S
12,F2utz6L76D0,UCNhofiqfw5nl-NeDJkXtPvw,"방콕 풀코스, 동남아 안 가본 곽튜브와 함께 【쇼트트립】","2박~ 3일!

15:30 좁밥트립 시작
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Haunted
https://www.youtube.com/watch?v=gNRckojcjpo

Jahzzar - Roller skate
https://www.youtube.com/watch?v=cimKR4K24hc",https://i.ytimg.com/vi/F2utz6L76D0/hqdefault.jpg,4300741,47018,2022-10-11T03:00:08Z,PT28M46S
13,QYGJ-Zcma4Q,UCNhofiqfw5nl-NeDJkXtPvw,탈모와 뚱보와 털보의 여행기 【베트남1】,"본 컨텐츠는 여기어때의 지원을 받아서 제작되었습니다.
--------------------------------------
안녕하세요.
빠니보틀입니다.
제가 돌아왔습니다.

(침묵)
--------------------------------------
카메라

Gopro11
--------------------------------------
배경음악

Jahzzar - Eve
https://www.youtube.com/watch?v=ya2S21YOlUI

Jahzzar - Candy
https://www.youtube.com/watch?v=YrLtfCK_GuY

Jason Shaw - TRAVEL LIGHT
https://www.youtube.com/watch?v=N4I-ZSjEO_8",https://i.ytimg.com/vi/QYGJ-Zcma4Q/hqdefault.jpg,4616649,60866,2023-01-17T04:24:48Z,PT21M49S
14,RxEcIuZEypE,UCNhofiqfw5nl-NeDJkXtPvw,낭만 가득 베트남 스쿠터 여행 【베트남2】,"공산당 아닙니다
--------------------------------------
카메라

Gopro10
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Where it goes
https://www.youtube.com/watch?v=r8ksw1-DM9E

Jahzzar - Wild Ones
https://www.youtube.com/watch?v=b-hJeztdIbs

Jahzzar - Chunk of Lawn
https://www.youtube.com/watch?v=WrhrT7uq1Hw

Jahzzar - Cold Like This
https://www.youtube.com/watch?v=2PBbNkjJobE",https://i.ytimg.com/vi/RxEcIuZEypE/hqdefault.jpg,2848617,43450,2023-01-20T12:27:02Z,PT24M44S
15,EXqstawvwpo,UCNhofiqfw5nl-NeDJkXtPvw,구름에 가려진 신비의 베트남 산골도시 【베트남3】,"아오바오시의 연락 기다리겠습니다.
--------------------------------------
카메라

Gopro11
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - The Lake
https://www.youtube.com/watch?v=p86ATW3to6c

Jahzzar - Friends
https://www.youtube.com/watch?v=1qE3YOz9tkc

Jahzzar - Fallin'
https://www.youtube.com/watch?v=DzgrcklIdgE",https://i.ytimg.com/vi/EXqstawvwpo/hqdefault.jpg,2806101,42384,2023-01-25T03:00:08Z,PT28M10S
16,bTIabS7_VBQ,UCNhofiqfw5nl-NeDJkXtPvw,알찬 베트남 하롱베이 크루즈 여행 【베트남4】,"곽튜브의 새 보금자리 출발을 응원합니다.
--------------------------------------
카메라

Gopro11
Galaxy S21
--------------------------------------
배경음악

Jahzzar - sketch #1 (Vlad)
https://www.youtube.com/watch?v=BRZxfDXFzoc

Jahzzar - So Far So Close
https://www.youtube.com/watch?v=RmIBcr7B3iA

Jahzzar - The Shine
https://www.youtube.com/watch?v=AfStnBdE-7k",https://i.ytimg.com/vi/bTIabS7_VBQ/hqdefault.jpg,2373046,36063,2023-01-30T03:00:12Z,PT20M35S
17,vCYO6HRSJJE,UCNhofiqfw5nl-NeDJkXtPvw,밥까지 나오는 34시간 베트남 종단 기차 탑승기 【베트남5】,"역시 배급제는 한국인에게 안 맞아
--------------------------------------
카메라

Gopro11
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Redhead
https://www.youtube.com/watch?v=-oJaFkY8zLQ

Jahzzar - Fountains of Burgundy
https://www.youtube.com/watch?v=PxRMx3Cb-No",https://i.ytimg.com/vi/vCYO6HRSJJE/hqdefault.jpg,2896594,43329,2023-02-02T03:00:22Z,PT19M2S
18,u5LZxZoY5OU,UCNhofiqfw5nl-NeDJkXtPvw,"노홍철, 여행 끝에서 지옥을 맛보다 【베트남6】","쿠바 갈 날을 기다립니당.
--------------------------------------
카메라

Gopro11
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Little Chance
https://www.youtube.com/watch?v=r3pEg-TTTTY

Jahzzar - The Shine
https://www.youtube.com/watch?v=AfStnBdE-7k",https://i.ytimg.com/vi/u5LZxZoY5OU/hqdefault.jpg,2890898,64462,2023-02-06T02:39:19Z,PT28M52S
19,6f8HP73pzMI,UCNhofiqfw5nl-NeDJkXtPvw,땀냄새 나는 남자들의 캠핑카 여행 【호주1】,"본 영상은 티웨이항공으로부터 항공권 등을 제공받았음을 알려드립니다.
--------------------------------------
카메라

Gopro11
Galaxy S21
Insta360
--------------------------------------
배경음악

장덕철 - 그날처럼
https://www.youtube.com/watch?v=v6_GwXU1lkg

Jason Shaw - ACOUSTIC BLUES
https://www.youtube.com/watch?v=Q5RA5PJ4Blk&list=PLf6sBusAX2f0VZBLCK-rW45g595IifiAH&index=2

Jason Shaw - MEDITATION
https://www.youtube.com/watch?v=2rAc1kbrb3c&list=PLf6sBusAX2f0VZBLCK-rW45g595IifiAH&index=3

Jason Shaw - HOEDOWN
https://www.youtube.com/watch?v=rhRbpJlpU2c&list=PLf6sBusAX2f0VZBLCK-rW45g595IifiAH&index=13

Jason Shaw - MARATHON MAN
https://www.youtube.com/watch?v=Q5RA5PJ4Blk&list=PLf6sBusAX2f0VZBLCK-rW45g595IifiAH&index=18",https://i.ytimg.com/vi/6f8HP73pzMI/hqdefault.jpg,2484269,43642,2023-02-21T03:00:04Z,PT29M15S
